FaceID,X,Y,Z,Pressure
9714,0.141495803833008,0.0657718022664388,0.0545523376464844,29057.08203
9715,0.140995803833008,0.0654799372355143,0.0355743357340495,31391.1582
9716,0.141495803833008,0.0657718022664388,0.0413500061035156,29308.73242
9717,0.140995803833008,0.0654799372355143,0.0224493408203125,76862.38281
9718,0.141495803833008,0.0657718022664388,0.0281490071614583,44593.17578
9719,0.142497670491536,0.0663894678751628,0.560533671061198,30548.65039
9720,0.142497670491536,0.0663894678751628,0.547182006835938,30570.64453
9721,0.142999537150065,0.0667152684529622,0.556032999674479,30546.07227
9722,0.142497670491536,0.0663894678751628,0.533831013997396,30595.43945
9723,0.142999537150065,0.0667152684529622,0.542605672200521,30557.17969
9724,0.142497670491536,0.0663894678751628,0.520481333414713,30606.33594
9725,0.142999537150065,0.0667152684529622,0.5291806640625,30575.81836
9726,0.142497670491536,0.0663894678751628,0.507129333496094,30602.30078
9727,0.142999537150065,0.0667152684529622,0.515754323323568,30589.08203
9728,0.142497670491536,0.0663894678751628,0.493780334472656,30589.94727
9729,0.142999537150065,0.0667152684529622,0.50232899983724,30589.11719
9730,0.142497670491536,0.0663894678751628,0.480430338541667,30573.40039
9731,0.142999537150065,0.0667152684529622,0.488905670166016,30590.125
9732,0.142497670491536,0.0663894678751628,0.467077351888021,30556.33203
9733,0.142999537150065,0.0667152684529622,0.475479349772135,30630.85742
9734,0.142497670491536,0.0663894678751628,0.453724680582682,30538.58984
9735,0.142999537150065,0.0667152684529622,0.462050354003906,30647.89844
9736,0.142497670491536,0.0663894678751628,0.440375681559245,30521.45312
9737,0.142999537150065,0.0667152684529622,0.448625010172526,30627.01367
9738,0.142497670491536,0.0663894678751628,0.427023681640625,30509.64844
9739,0.142999537150065,0.0667152684529622,0.435199686686198,30552.8418
9740,0.142497670491536,0.0663894678751628,0.41367333984375,30502.20508
9741,0.142999537150065,0.0667152684529622,0.421773010253906,30501.82812
9742,0.142497670491536,0.0663894678751628,0.400324666341146,30500.09766
9743,0.142999537150065,0.0667152684529622,0.408349670410156,30466.92383
9744,0.142497670491536,0.0663894678751628,0.386972798665365,30504.33789
9745,0.142999537150065,0.0667152684529622,0.394924662272135,30456.65039
9746,0.142497670491536,0.0663894678751628,0.373620971679687,30504.50586
9747,0.142999537150065,0.0667152684529622,0.381496398925781,30474.55469
9748,0.142497670491536,0.0663894678751628,0.360271942138672,30489.28125
9749,0.142999537150065,0.0667152684529622,0.368071207682292,30504.32812
9750,0.142497670491536,0.0663894678751628,0.346920074462891,30456.35938
9751,0.142999537150065,0.0667152684529622,0.354645904541016,30508.49414
9752,0.142497670491536,0.0663894678751628,0.333568237304687,30419.11133
9753,0.142999537150065,0.0667152684529622,0.3412177734375,30470.67188
9754,0.142497670491536,0.0663894678751628,0.320218271891276,30381.11328
9755,0.142999537150065,0.0667152684529622,0.327791534423828,30414.95312
9756,0.142497670491536,0.0663894678751628,0.30686924235026,30362.17969
9757,0.142999537150065,0.0667152684529622,0.31436811319987,30360.09375
9758,0.142497670491536,0.0663894678751628,0.293517374674479,30378.44727
9759,0.142999537150065,0.0667152684529622,0.300942810058594,30323.45898
9760,0.142497670491536,0.0663894678751628,0.280167399088542,30430.16016
9761,0.142999537150065,0.0667152684529622,0.287516571044922,30322.15234
9762,0.142497670491536,0.0663894678751628,0.266815541585286,30471.23633
9763,0.142999537150065,0.0667152684529622,0.274091267903646,30361.71289
9764,0.142497670491536,0.0663894678751628,0.253462738037109,30441.42188
9765,0.142999537150065,0.0667152684529622,0.260663141886393,30409.01953
9766,0.142497670491536,0.0663894678751628,0.240110900878906,30357.85156
9767,0.142999537150065,0.0667152684529622,0.247236902872721,30372.92773
9768,0.142497670491536,0.0663894678751628,0.226761896769206,30297.3418
9769,0.142999537150065,0.0667152684529622,0.233811630249023,30268.63477
9770,0.142497670491536,0.0663894678751628,0.213411900838216,30270.59961
9771,0.142999537150065,0.0667152684529622,0.220388198852539,30200.23047
9772,0.142497670491536,0.0663894678751628,0.200060038248698,30262.89453
9773,0.142999537150065,0.0667152684529622,0.206961934407552,30177.05859
9774,0.142497670491536,0.0663894678751628,0.186709177652995,30262.00391
9775,0.142999537150065,0.0667152684529622,0.193534739176432,30141.50195
9776,0.142497670491536,0.0663894678751628,0.173359339396159,30235.30859
9777,0.142999537150065,0.0667152684529622,0.180109675089518,30088.76367
9778,0.142497670491536,0.0663894678751628,0.160007334391276,30144.74609
9779,0.142999537150065,0.0667152684529622,0.166683334350586,30039.15039
9780,0.142497670491536,0.0663894678751628,0.146655670166016,29902.33203
9781,0.142999537150065,0.0667152684529622,0.153255335489909,29945.52344
9782,0.142497670491536,0.0663894678751628,0.13330800374349,29558.43359
9783,0.142999537150065,0.0667152684529622,0.139831670125326,29675.35156
9784,0.142497670491536,0.0663894678751628,0.119956339518229,29347.65625
9785,0.142999537150065,0.0667152684529622,0.126408004760742,29231.29883
9786,0.142497670491536,0.0663894678751628,0.106604339599609,29372.4707
9787,0.142999537150065,0.0667152684529622,0.112980005900065,29017.13281
9788,0.142497670491536,0.0663894678751628,0.0932556711832682,29459.09766
9789,0.142999537150065,0.0667152684529622,0.0995546722412109,29218.4043
9790,0.142497670491536,0.0663894678751628,0.0799026692708333,29284.75977
9791,0.142999537150065,0.0667152684529622,0.0861296691894531,29618.82227
9792,0.142497670491536,0.0663894678751628,0.0665500030517578,29561
9793,0.142999537150065,0.0667152684529622,0.0727003377278646,29079.37109
9794,0.142497670491536,0.0663894678751628,0.0532030029296875,29260.29492
9795,0.142999537150065,0.0667152684529622,0.059277333577474,28894.32227
9796,0.142497670491536,0.0663894678751628,0.0398510080973307,29592.80078
9797,0.142999537150065,0.0667152684529622,0.0458536732991537,29614.25977
9798,0.142497670491536,0.0663894678751628,0.0264993387858073,68141.07031
9799,0.142999537150065,0.0667152684529622,0.0324256693522135,64907.03906
9800,0.144001403808594,0.0674017028808594,0.560457336425781,30546.07227
9801,0.144001403808594,0.0674017028808594,0.546882649739583,30557.17969
9802,0.144501403808594,0.067762336730957,0.555883321126302,30546.17969
9803,0.144001403808594,0.0674017028808594,0.533304667154948,30575.81836
9804,0.144501403808594,0.067762336730957,0.542231994628906,30546.9707
9805,0.144001403808594,0.0674017028808594,0.519728658040365,30589.08203
9806,0.144501403808594,0.067762336730957,0.528579671223958,30554.43164
9807,0.144001403808594,0.0674017028808594,0.506153666178385,30589.11719
9808,0.144501403808594,0.067762336730957,0.514928334554037,30566.13867
9809,0.144001403808594,0.0674017028808594,0.492579681396484,30590.125
9810,0.144501403808594,0.067762336730957,0.501279012044271,30579.63867
9811,0.144001403808594,0.0674017028808594,0.479003682454427,30603.45703
9812,0.144501403808594,0.067762336730957,0.487628682454427,30602.02734
9813,0.144001403808594,0.0674017028808594,0.465426015218099,30618.37891
9814,0.144501403808594,0.067762336730957,0.473977345784505,30630.85742
9815,0.144001403808594,0.0674017028808594,0.451850016276042,30600.80273
9816,0.144501403808594,0.067762336730957,0.460325347900391,30647.89844
9817,0.144001403808594,0.0674017028808594,0.438274678548177,30552.8418
9818,0.144501403808594,0.067762336730957,0.44667567952474,30627.01367
9819,0.144001403808594,0.0674017028808594,0.42469867960612,30501.82812
9820,0.144501403808594,0.067762336730957,0.433024342854818,30563.98242
9821,0.144001403808594,0.0674017028808594,0.411124674479167,30466.92383
9822,0.144501403808594,0.067762336730957,0.419374013264974,30492.87305
9823,0.144001403808594,0.0674017028808594,0.397549662272135,30456.65039
9824,0.144501403808594,0.067762336730957,0.405724670410156,30439.88477
9825,0.144001403808594,0.0674017028808594,0.383971934000651,30474.55469
9826,0.144501403808594,0.067762336730957,0.392073333740234,30422.72656
9827,0.144001403808594,0.0674017028808594,0.370396006266276,30504.32812
9828,0.144501403808594,0.067762336730957,0.378421305338542,30443.02539
9829,0.144001403808594,0.0674017028808594,0.356819101969401,30508.49414
9830,0.144501403808594,0.067762336730957,0.364769938151042,30479.68945
9831,0.144001403808594,0.0674017028808594,0.3432431640625,30470.67188
9832,0.144501403808594,0.067762336730957,0.351118662516276,30493.23242
9833,0.144001403808594,0.0674017028808594,0.329667165120443,30414.95312
9834,0.144501403808594,0.067762336730957,0.337469258626302,30462.44141
9835,0.144001403808594,0.0674017028808594,0.31609120686849,30360.09375
9836,0.144501403808594,0.067762336730957,0.32381699625651,30399.375
9837,0.144001403808594,0.0674017028808594,0.30251811726888,30323.45898
9838,0.144501403808594,0.067762336730957,0.310167643229167,30344.43164
9839,0.144001403808594,0.0674017028808594,0.288942148844401,30322.15234
9840,0.144501403808594,0.067762336730957,0.296518259684245,30294.73047
9841,0.144001403808594,0.0674017028808594,0.27536430867513,30361.71289
9842,0.144501403808594,0.067762336730957,0.282866017659505,30264.60352
9843,0.144001403808594,0.0674017028808594,0.261789311726888,30409.01953
9844,0.144501403808594,0.067762336730957,0.269214752197266,30275.9082
9845,0.144001403808594,0.0674017028808594,0.248213333129883,30372.92773
9846,0.144501403808594,0.067762336730957,0.255565338134766,30320.99023
9847,0.144001403808594,0.0674017028808594,0.234637400309245,30268.63477
9848,0.144501403808594,0.067762336730957,0.241913101196289,30307.10156
9849,0.144001403808594,0.0674017028808594,0.221064270019531,30200.23047
9850,0.144501403808594,0.067762336730957,0.228263737996419,30195.98633
9851,0.144001403808594,0.0674017028808594,0.207486399332682,30177.05859
9852,0.144501403808594,0.067762336730957,0.214612436930339,30112.50977
9853,0.144001403808594,0.0674017028808594,0.193910435994466,30141.50195
9854,0.144501403808594,0.067762336730957,0.200960199991862,30085.91797
9855,0.144001403808594,0.0674017028808594,0.18033566792806,30088.76367
9856,0.144501403808594,0.067762336730957,0.18731086730957,30014.52344
9857,0.144001403808594,0.0674017028808594,0.166757670084635,30039.15039
9858,0.144501403808594,0.067762336730957,0.17365966796875,29898.81836
9859,0.144001403808594,0.0674017028808594,0.153180999755859,29945.52344
9860,0.144501403808594,0.067762336730957,0.160007334391276,29808.99219
9861,0.144001403808594,0.0674017028808594,0.139607671101888,29675.35156
9862,0.144501403808594,0.067762336730957,0.146357335408529,29714.97656
9863,0.144001403808594,0.0674017028808594,0.126032338460286,29231.29883
9864,0.144501403808594,0.067762336730957,0.132708338419596,29492.74609
9865,0.144001403808594,0.0674017028808594,0.11245566813151,29017.13281
9866,0.144501403808594,0.067762336730957,0.119056335449219,29200.10352
9867,0.144001403808594,0.0674017028808594,0.098878672281901,29218.4043
9868,0.144501403808594,0.067762336730957,0.105404001871745,29129.95508
9869,0.144001403808594,0.0674017028808594,0.0853036702473958,29618.82227
9870,0.144501403808594,0.067762336730957,0.0917536722819011,29075.66992
9871,0.144001403808594,0.0674017028808594,0.0717270050048828,29079.37109
9872,0.144501403808594,0.067762336730957,0.0781033376057943,29278.78516
9873,0.144001403808594,0.0674017028808594,0.0581520029703776,29115.44141
9874,0.144501403808594,0.067762336730957,0.0644513397216797,28188.44531
9875,0.144001403808594,0.0674017028808594,0.0445786692301432,29674.71094
9876,0.144501403808594,0.067762336730957,0.0508026682535807,30377.97852
9877,0.144001403808594,0.0674017028808594,0.0310020039876302,66525.25781
9878,0.144501403808594,0.067762336730957,0.037152338663737,63498.64453
9879,0.145501373291016,0.0685165710449219,0.560383992513021,30546.17969
9880,0.145501373291016,0.0685165710449219,0.546582336425781,30546.9707
9881,0.146001342773437,0.0689101715087891,0.555733662923177,30542.73828
9882,0.145501373291016,0.0685165710449219,0.532780008951823,30554.43164
9883,0.146001342773437,0.0689101715087891,0.541855346679687,30532.26172
9884,0.145501373291016,0.0685165710449219,0.518979014078776,30566.13867
9885,0.146001342773437,0.0689101715087891,0.527979675292969,30527.33594
9886,0.145501373291016,0.0685165710449219,0.50517734781901,30579.63867
9887,0.146001342773437,0.0689101715087891,0.514102681477865,30537.98633
9888,0.145501373291016,0.0685165710449219,0.491377014160156,30602.02734
9889,0.146001342773437,0.0689101715087891,0.500226348876953,30570.75781
9890,0.145501373291016,0.0685165710449219,0.477578002929687,30630.85742
9891,0.146001342773437,0.0689101715087891,0.486352671305339,30612.57617
9892,0.145501373291016,0.0685165710449219,0.463776011149089,30647.89844
9893,0.146001342773437,0.0689101715087891,0.472477335611979,30644.13281
9894,0.145501373291016,0.0685165710449219,0.449976013183594,30627.01367
9895,0.146001342773437,0.0689101715087891,0.458601013183594,30659.49805
9896,0.145501373291016,0.0685165710449219,0.436174997965495,30563.98242
9897,0.146001342773437,0.0689101715087891,0.444725667317708,30643.12695
9898,0.145501373291016,0.0685165710449219,0.422373016357422,30492.87305
9899,0.146001342773437,0.0689101715087891,0.430848337809245,30573.56055
9900,0.145501373291016,0.0685165710449219,0.408573008219401,30439.88477
9901,0.146001342773437,0.0689101715087891,0.416972015380859,30483.18164
9902,0.145501373291016,0.0685165710449219,0.39477300008138,30422.72656
9903,0.146001342773437,0.0689101715087891,0.403097666422526,30416.10352
9904,0.145501373291016,0.0685165710449219,0.380971038818359,30443.02539
9905,0.146001342773437,0.0689101715087891,0.389221333821615,30387.69141
9906,0.145501373291016,0.0685165710449219,0.367169138590495,30479.68945
9907,0.146001342773437,0.0689101715087891,0.375344940185547,30395.42383
9908,0.145501373291016,0.0685165710449219,0.353370025634766,30493.23242
9909,0.146001342773437,0.0689101715087891,0.361469665527344,30435.49219
9910,0.145501373291016,0.0685165710449219,0.339570892333984,30462.44141
9911,0.146001342773437,0.0689101715087891,0.347596160888672,30465.07422
9912,0.145501373291016,0.0685165710449219,0.325768961588542,30399.375
9913,0.146001342773437,0.0689101715087891,0.333720764160156,30444.3125
9914,0.145501373291016,0.0685165710449219,0.311967041015625,30344.43164
9915,0.146001342773437,0.0689101715087891,0.319842569986979,30377.57812
9916,0.145501373291016,0.0685165710449219,0.29816791788737,30294.73047
9917,0.146001342773437,0.0689101715087891,0.305967173258464,30311.95312
9918,0.145501373291016,0.0685165710449219,0.284365987141927,30264.60352
9919,0.146001342773437,0.0689101715087891,0.292091776529948,30247.45898
9920,0.145501373291016,0.0685165710449219,0.270564046223958,30275.9082
9921,0.146001342773437,0.0689101715087891,0.278213572184245,30197.24219
9922,0.145501373291016,0.0685165710449219,0.256764938354492,30320.99023
9923,0.146001342773437,0.0689101715087891,0.264338205973307,30187.62891
9924,0.145501373291016,0.0685165710449219,0.242964869181315,30307.10156
9925,0.146001342773437,0.0689101715087891,0.250464701334635,30216.2168
9926,0.145501373291016,0.0685165710449219,0.229162938435872,30195.98633
9927,0.146001342773437,0.0689101715087891,0.236588368733724,30201.93945
9928,0.145501373291016,0.0685165710449219,0.215361968994141,30112.50977
9929,0.146001342773437,0.0689101715087891,0.222713002522786,30068.88281
9930,0.145501373291016,0.0685165710449219,0.201560002644857,30085.91797
9931,0.146001342773437,0.0689101715087891,0.208835734049479,29973.93359
9932,0.145501373291016,0.0685165710449219,0.18776003519694,30014.52344
9933,0.146001342773437,0.0689101715087891,0.194959406534831,29948.52539
9934,0.145501373291016,0.0685165710449219,0.173958999633789,29898.81836
9935,0.146001342773437,0.0689101715087891,0.181084167480469,29829.46875
9936,0.145501373291016,0.0685165710449219,0.160157002766927,29808.99219
9937,0.146001342773437,0.0689101715087891,0.167206670125326,29654.70898
9938,0.145501373291016,0.0685165710449219,0.146357335408529,29714.97656
9939,0.146001342773437,0.0689101715087891,0.15333066813151,29525.14258
9940,0.145501373291016,0.0685165710449219,0.132558670043945,29492.74609
9941,0.146001342773437,0.0689101715087891,0.139458002726237,29491.59375
9942,0.145501373291016,0.0685165710449219,0.118756998697917,29200.10352
9943,0.146001342773437,0.0689101715087891,0.125583333333333,29331.62109
9944,0.145501373291016,0.0685165710449219,0.104955001831055,29129.95508
9945,0.146001342773437,0.0689101715087891,0.111707331339518,29192.55859
9946,0.145501373291016,0.0685165710449219,0.0911536712646484,29075.66992
9947,0.146001342773437,0.0689101715087891,0.0978296712239583,28994.99609
9948,0.145501373291016,0.0685165710449219,0.07735400390625,29278.78516
9949,0.146001342773437,0.0689101715087891,0.083954335530599,28327.62305
9950,0.145501373291016,0.0685165710449219,0.063552007039388,28188.44531
9951,0.146001342773437,0.0689101715087891,0.0700783386230469,28157.33008
9952,0.145501373291016,0.0685165710449219,0.0497506713867188,30115.50781
9953,0.146001342773437,0.0689101715087891,0.056200673421224,29954.05273
9954,0.145501373291016,0.0685165710449219,0.0359510040283203,64208.19531
9955,0.146001342773437,0.0689101715087891,0.0423253377278646,62536.59766
9956,0.147001312255859,0.0697331390380859,0.560307678222656,30542.73828
9957,0.147001312255859,0.0697331390380859,0.546280008951823,30532.26172
9958,0.147501312255859,0.0701625061035156,0.555581013997396,30539.53711
9959,0.147001312255859,0.0697331390380859,0.532254679361979,30527.33594
9960,0.147501312255859,0.0701625061035156,0.541479675292969,30517.71484
9961,0.147001312255859,0.0697331390380859,0.518228688557943,30537.98633
9962,0.147501312255859,0.0701625061035156,0.527380025227865,30505.26953
9963,0.147001312255859,0.0697331390380859,0.504201670328776,30570.75781
9964,0.147501312255859,0.0701625061035156,0.513278676350912,30519.95117
9965,0.147001312255859,0.0697331390380859,0.490177673339844,30612.57617
9966,0.147501312255859,0.0701625061035156,0.499177337646484,30559.89062
9967,0.147001312255859,0.0697331390380859,0.476154327392578,30644.13281
9968,0.147501312255859,0.0701625061035156,0.485079996744792,30611.37695
9969,0.147001312255859,0.0697331390380859,0.462126342773438,30659.49805
9970,0.147501312255859,0.0701625061035156,0.470978332519531,30639.29297
9971,0.147001312255859,0.0697331390380859,0.448100341796875,30643.12695
9972,0.147501312255859,0.0701625061035156,0.456876017252604,30648.69141
9973,0.147001312255859,0.0697331390380859,0.43407334391276,30573.56055
9974,0.147501312255859,0.0701625061035156,0.442774678548177,30642.34961
9975,0.147001312255859,0.0697331390380859,0.420047342936198,30483.18164
9976,0.147501312255859,0.0701625061035156,0.428673350016276,30592.23633
9977,0.147001312255859,0.0697331390380859,0.406021331787109,30416.10352
9978,0.147501312255859,0.0701625061035156,0.414572001139323,30499.54883
9979,0.147001312255859,0.0697331390380859,0.391996002197266,30387.69141
9980,0.147501312255859,0.0701625061035156,0.400471333821615,30410.53516
9981,0.147001312255859,0.0697331390380859,0.377970102945964,30395.42383
