FaceID,X,Y,Z,Heat Flux
1,0.0544865353902181,0.19268977355957,0.557532674153646,1013362.57584888
2,0.055985538482666,0.187655039469401,0.535479654947917,891800.908937324
3,0.0559582049051921,0.188603205362956,0.5501806640625,333107.697481956
4,0.0554582354227702,0.190272674560547,0.557532674153646,333107.697481956
5,0.0574836362202962,0.182721074422201,0.513878662109375,974185.24720401
6,0.0569704729715983,0.184825541178385,0.528353658040365,1173772.45863791
7,0.0574431393941243,0.184134404500326,0.535778991699219,452389.721458456
8,0.0574158058166504,0.185078837076823,0.550330322265625,386807.202602943
9,0.0569158058166504,0.186718139648438,0.557605997721354,386807.202602943
10,0.058983570098877,0.17789350382487,0.492727671305339,1078409.81205701
11,0.0584694709777832,0.179956537882487,0.506978668212891,1176910.40055718
12,0.058944039662679,0.179288004557292,0.514406016031901,433957.103138732
13,0.0584308713277181,0.181361404418945,0.52873134358724,382865.984762746
14,0.0589054400126139,0.180693801879883,0.536083333333333,382865.984762746
15,0.0588772061665853,0.181631637573242,0.550482991536458,378497.672436031
16,0.0583753039042155,0.183243672688802,0.557682332356771,378497.672436031
17,0.0604854367574056,0.173168538411458,0.472025675455729,1093972.1765044
18,0.0599713071187337,0.175193939208984,0.486053680419922,1161230.91395642
19,0.0604449450174967,0.174549870808919,0.49348100789388,491594.334705877
20,0.0599317766825358,0.176580902099609,0.507582346598307,399589.835354946
21,0.0604082425435384,0.175936838785807,0.514934346516927,424962.853646922
22,0.0598950742085775,0.177976338704427,0.529110005696615,356406.434190175
23,0.0603687070210775,0.177330403645833,0.536385660807292,356406.434190175
24,0.0603423398335775,0.178261632283529,0.55063466389974,374968.435025265
25,0.0598404731750488,0.179845403035482,0.557758666992187,374968.435025265
26,0.0619854062398275,0.168543436686198,0.451774668375651,1093055.26405401
27,0.0614731737772624,0.170531138102214,0.465577667236328,1117633.67867047
28,0.061948678334554,0.169912541707357,0.473007680257161,432014.078752474
29,0.0614345792134603,0.171905873616536,0.486883015950521,372166.935087104
30,0.0619110450744629,0.171286305745443,0.494235005696615,417714.536764393
31,0.0613978767395019,0.173286239624023,0.508184997558594,369416.415857985
32,0.0618743069966634,0.172664805094401,0.515460673014323,408297.010780243
33,0.0613583056131999,0.174669469197591,0.529485677083333,395766.978413581
34,0.0618338050842285,0.174047068277995,0.536684997558594,395766.978413581
35,0.0618093401590983,0.174972671508789,0.550784322102865,398674.506587994
36,0.0613074735005697,0.176526301066081,0.557834004720052,398674.506587994
37,0.0634853757222494,0.164024703979492,0.431970672607422,1060957.00000799
38,0.0629731432596842,0.165971939086914,0.445550669352214,1210823.01753139
39,0.063448678334554,0.16537873840332,0.452979990641276,410991.852659365
40,0.0629364458719889,0.167331639607747,0.466634002685547,346404.936631365
41,0.0634119453430176,0.166738403320313,0.473985005696615,394462.506033053
42,0.0629006436665853,0.168699737548828,0.487710673014323,360009.990885014
43,0.0633770739237467,0.168104634602865,0.494986673990885,380177.258577133
44,0.0628639055887858,0.170069768269857,0.508786682128906,382658.891202285
45,0.0633394050598144,0.169471867879232,0.515988016764323,382658.891202285
46,0.0628253059387207,0.17144450378418,0.529861328125,435004.643050018
47,0.0633027076721191,0.170846572875977,0.5369873046875,435004.643050018
48,0.0632782427469889,0.171763671875,0.550934977213542,468941.76459632
49,0.0627763760884603,0.173287206013997,0.557908325195313,468941.76459632
50,0.0649872398376465,0.159606735229492,0.412618011474609,948169.156255764
51,0.0644750086466471,0.161516270955404,0.425971669514974,1211450.08879332
52,0.0649524091084798,0.160946604410807,0.433402994791667,1204631.48182333
53,0.0644383112589518,0.162861836751302,0.446831319173177,402039.852972016
