Time_s,Altitude_m,Mach,DynamicPressure_Pa,Velocity_ms,AirDensity_kgm3,AirTemperature_K
0,10,4.99624389529456,1768426.2536793,1700,1.2238243970099,288.085
0.025585001751218,13.8137478576973,4.99412728979207,1766129.2529763,1699.20670106449,1.22337627909803,288.060210638925
0.051170003502436,17.6733187055215,4.99201623862159,1763828.87220754,1698.41447254458,1.22292290476579,288.035123428414
0.076755005253654,21.5785906827077,4.98991073310486,1761525.15362383,1697.62331457832,1.22246429287556,288.009739160562
0.102340007004872,25.5294420449063,4.98781076455588,1759218.13930671,1696.83322728886,1.22200046231197,287.984058626708
0.230265015760962,45.9631377412006,4.97739367191497,1747635.09260321,1692.89885429369,1.21960369173196,287.851239604682
0.358190024517052,67.5181262660772,4.96711369639384,1735975.86696552,1688.99125824383,1.21707929859477,287.71113217927
0.486115033273142,90.1793310614303,4.95696974507179,1724245.53086801,1685.11043840188,1.21442966430336,287.563834348101
0.614040042029232,113.931760551408,4.9469607218279,1712449.04558349,1681.25638545053,1.21165717905546,287.409443556416
1.16962103256817,229.386800020002,4.90502992331566,1660566.00092599,1664.82814345224,1.19824967437583,286.65898579987
1.7252020231071,363.945491552353,4.86553285012315,1607898.02514968,1648.90107567178,1.18276726120032,285.78435430491
2.28078301364604,516.445479089394,4.82837946109422,1554781.83262999,1633.46975063962,1.16540602809444,284.793104385919
2.83636400418497,685.766277770512,4.79348043366261,1501517.41942419,1618.52670191906,1.14635896920979,283.692519194492
3.44599296851743,889.635077873245,4.75767539718158,1443214.601967,1602.68079091912,1.12374260441353,282.367371993824
4.05562193284988,1111.09893969353,4.72436408484323,1385356.38411857,1587.39763921782,1.0995628186411,280.927856891992
4.66525089718234,1348.86429639626,4.69343574737119,1328203.31636342,1572.66185288307,1.07404839624486,279.382382073424
5.27487986151479,1601.70634160098,4.6647832198859,1271975.20439232,1558.45690077932,1.04741562515549,277.738908779594
5.98257804852913,1912.60625487566,4.63423923145618,1208101.78819745,1542.60957849729,1.01536333163071,275.718059343308
6.69027623554346,2240.56716780178,4.60646789896908,1145950.78573515,1527.4260756496,0.982371063483853,273.586313409288
7.3979744225578,2584.00434093922,4.58132233515117,1085700.84666513,1512.87800267267,0.948707547498833,271.353971783895
