Time_s,Altitude_km,Mach,Velocity_ms,Altitude_km,Mach
0,10,6.948529412,2700,0.01,7.941176471
5.496190515,1162.516084,6.290530956,2444.3206,1.162516084,7.189178235
10.99238103,5503.704871,5.890223546,2288.772578,5.503704871,6.731684052
16.48857155,8229.646784,5.709678053,2218.617758,8.229646784,6.525346346
21.98476206,8475.293351,5.5430003,2153.851545,8.475293351,6.334857486
27.48095258,8432.512345,5.452155867,2118.551994,8.432512345,6.231035277
32.97714309,8392.907098,5.376077621,2088.990161,8.392907098,6.14408871
38.47333361,8434.385081,5.306340414,2061.892275,8.434385081,6.064389044
43.96952412,8393.516066,5.250085316,2040.033151,8.393516066,6.000097504
49.46571464,8439.273057,5.197704205,2019.679348,8.439273057,5.940233377
54.96190515,8404.420306,5.139934844,1997.231825,8.404420306,5.87421125
60.45809567,8436.75752,5.073876178,1971.563315,8.43675752,5.798715632
65.95428618,8412.504525,5.009909428,1946.707663,8.412504525,5.725610775
71.4504767,8431.79093,4.949341431,1923.17267,8.43179093,5.656390207
76.94666721,8415.815995,4.888672289,1899.598375,8.415815995,5.587054045
82.44285773,8427.4032,4.831055578,1877.210167,8.4274032,5.521206375
87.93904825,8419.891005,4.775498775,1855.622381,8.419891005,5.457712886
93.43523876,8428.206458,4.723170481,1835.289101,8.428206458,5.397909121
98.93142928,8421.119023,4.672526126,1815.610152,8.421119023,5.340029858
104.4276198,8446.780879,4.623398933,1796.520728,8.446780879,5.283884495
109.9238103,8422.163876,4.575641276,1777.963467,8.422163876,5.229304315
115.4200008,8439.636888,4.527078968,1759.093542,8.439636888,5.173804535
120.9161913,8431.832766,4.480828185,1741.121809,8.431832766,5.120946497
126.4123819,8423.496588,4.437553489,1724.306499,8.423496588,5.071489702
131.9085724,8425.19742,4.394443603,1707.555228,8.42519742,5.02222126
137.4047629,8463.650478,4.350969656,1690.662495,8.463650478,4.97253675
142.9009534,8458.67629,4.306211168,1673.270625,8.45867629,4.921384192
148.3971439,8444.600323,4.261244124,1655.797717,8.444600323,4.869993284
