FaceID,X,Y,Z,Heat Flux
124,0.070957909,0.144253036,0.359603414,1219565.414
125,0.070446609,0.146012873,0.37213148,1071525.867
126,0.070926809,0.145541138,0.379487376,0
127,0.070414574,0.147304738,0.392089671,900910.613
128,0.07089384,0.146831136,0.399369008,1191149.681
129,0.070381607,0.148602305,0.412046682,0
130,0.070861842,0.148127736,0.419251017,1196578.24
131,0.070350576,0.149904505,0.432003011,1197231.513
132,0.070832675,0.149427104,0.439130676,1197756.907
133,0.07032044,0.151210505,0.451956014,1196587.496
134,0.070802539,0.150733139,0.45900768,1205326.911
135,0.070288439,0.152525004,0.47190567,1202748.998
136,0.070770541,0.152045705,0.478880992,1218885.095
137,0.070256409,0.153843201,0.491853333,1232552.305
138,0.07073851,0.153361104,0.498753337,1232552.305
139,0.070224375,0.155164271,0.511799337,1237878.559
140,0.070706474,0.154678406,0.518623332,1237878.559
141,0.070193306,0.156487203,0.53174467,1236642.398
142,0.070675407,0.156001333,0.538493022,1236642.398
143,0.070652807,0.156884567,0.551688354,1227614.538
144,0.070149073,0.158260269,0.558286011,1227614.538
145,0.07248984,0.139071416,0.322614604,1316560.951
146,0.071979507,0.140782303,0.334845001,1313398.604
147,0.072459742,0.140336934,0.342277039,1211515.729
148,0.071950343,0.1420563,0.354580912,1119283.684
149,0.072430542,0.141610936,0.361938578,1182379.668
150,0.071918307,0.143335938,0.374316976,868362.6466
151,0.072397573,0.142885839,0.38159727,1193076.545
152,0.07188534,0.144617437,0.394047007,1186112.247
153,0.072367442,0.144167369,0.401252004,1194701.193
154,0.071856176,0.145906499,0.413778341,1196578.24
155,0.072338275,0.145454534,0.420908335,1192173.231
156,0.07182604,0.147198369,0.433508677,1197756.907
157,0.072308139,0.146744537,0.440562012,1205220.384
158,0.071796872,0.148495906,0.453235677,1205326.911
159,0.072278974,0.148040171,0.460210999,1218706.574
160,0.071766741,0.149798106,0.472958323,1218885.095
161,0.072247876,0.149340469,0.479858317,1235155.004
162,0.071733777,0.151105972,0.49268099,1240328.111
163,0.072215876,0.150645538,0.499504659,1240328.111
164,0.071702708,0.152414805,0.512401001,1239022.064
165,0.072186673,0.151952469,0.51915033,1239022.064
166,0.071672541,0.153730199,0.532121012,1235776.814
167,0.072155576,0.153266001,0.538795024,1235776.814
168,0.072135808,0.154139801,0.55183903,1227009.462
169,0.071630173,0.155487233,0.558360352,1227009.462
170,0.07398984,0.135272079,0.305964345,1430243.524
171,0.073479474,0.136946243,0.31796877,1363037.06
172,0.073958743,0.136526296,0.325402669,1248755.869
173,0.073449343,0.1382061,0.33748054,1075390.123
174,0.073931442,0.137784261,0.344838216,1190122.277
175,0.07342204,0.139469732,0.356992381,1171783.893
176,0.073903206,0.139046015,0.364273773,1190064.424
177,0.073390973,0.140737122,0.376500264,1186519.048
178,0.073873075,0.140311518,0.383703328,1197534.646
179,0.073361776,0.142010167,0.39600533,1191149.681
180,0.073843875,0.141584564,0.403135335,1201870.036
181,0.07333164,0.1432898,0.415512004,1192173.231
182,0.073813739,0.142860438,0.422566345,1200203.115
183,0.073302472,0.14457134,0.435016012,1205220.384
184,0.073786474,0.14413914,0.441994008,1213660.588
185,0.073274241,0.145856603,0.45451533,1218706.574
186,0.073757276,0.145423467,0.461415324,1235929.6
187,0.073243144,0.147149399,0.474010986,1235155.004
188,0.073727109,0.146713435,0.480837657,1247158.92
189,0.073213941,0.148444071,0.493508657,1245337.957
190,0.07369794,0.148006241,0.500257996,1245337.957
191,0.07318384,0.149745372,0.513003326,1240035.793
192,0.073667809,0.149303772,0.519677663,1240035.793
193,0.073153676,0.151046672,0.532498678,1233060.204
194,0.073637642,0.150603175,0.53909668,1233060.204
195,0.073616941,0.151471339,0.551990682,1226362.902
196,0.073113207,0.152788635,0.558436686,1226362.902
197,0.075489807,0.13157725,0.289763214,1552817.763
198,0.074979474,0.133210922,0.301543538,1527710.638
199,0.075460609,0.13281545,0.308977468,1222544.147
200,0.074950244,0.13445666,0.320832174,1039911.556
201,0.075432343,0.134059301,0.328189809,1200290.106
202,0.074922941,0.135707097,0.340117981,1169389.177
203,0.075406939,0.135306915,0.347399373,1203654.267
204,0.074896606,0.136960363,0.359401001,1182379.668
205,0.075378708,0.136558299,0.366607025,1197330.919
206,0.074867409,0.138218348,0.378682861,1193076.545
207,0.07534951,0.137814402,0.385812531,1200977.319
208,0.074837275,0.139481969,0.397963003,1194701.193
209,0.075321274,0.139076126,0.40501767,1210475.491
210,0.074809972,0.140749359,0.417244344,1200203.115
211,0.075293973,0.14034166,0.424221344,1208771.1
212,0.074781741,0.142020538,0.436521342,1213660.588
213,0.075264776,0.141610936,0.44342334,1228899.682
214,0.074752543,0.143296402,0.455796,1235929.6
215,0.075236509,0.142884903,0.462621663,1250346.217
216,0.074725207,0.144576004,0.475067657,1247158.92
217,0.075209173,0.144161708,0.481816996,1252929.495
218,0.074695073,0.145861308,0.494336334,1247251.371
219,0.075179075,0.14544514,0.501009338,1247251.371
220,0.074665909,0.147148473,0.513605337,1239631.535
221,0.075151777,0.146728505,0.520204346,1239631.535
222,0.074637642,0.148440308,0.532874674,1231176.203
223,0.075123507,0.14802034,0.539397013,1231176.203
224,0.075103706,0.14888004,0.55214034,1227221.298
225,0.07459714,0.150168172,0.558512004,1227221.298
226,0.076990707,0.127987885,0.274014069,1670627.612
